abortion , should abortion be legal?
,
alternative energy , can alternative energy effectively replace fossil fuels?
,
american socialism ,    should the u.s. become socialist?
,
animal dissection , should k-12 students dissect animals in science classrooms?
,
animal testing , should animals be used for scientific or commercial testing?
,
artificial intelligence , is artificial intelligence good for society?
,
b,
,
banned books , should parents or other adults be able to ban books from schools and libraries?
,
binge-watching , is binge-watching good for you?
,
bottled water ban , should bottled water be banned?
,
c,
,
cancel culture , is cancel culture (or callout culture) good for society?
,
cbd for pets , is cbd good for pets?
,
cell phone radiation , is cell phone radiation safe?
,
churches & taxes ," should churches (including mosques, synagogues, etc.) remain tax-exempt?"
,
climate change , is human activity primarily responsible for global climate change?
,
college education , is a college education worth it?
,
concealed handguns , should adults have the right to carry a concealed handgun?
,
corporal punishment , should corporal punishment be used in k-12 schools?
,
corporate tax rate , should the federal corporate income tax rate be raised?
,
cuba embargo , should the united states maintain its embargo against cuba?
,
d,
,
daca & dreamers , are daca (deferred action for childhood arrivals) and the dream act good for america?
,
daylight saving time , should the united states keep daylight saving time?
,
dc and puerto rico statehood ," should washington, dc, and puerto rico be granted u.s. statehood?"
,
death penalty , should the death penalty be legal?
,
defund the police ," should police departments be defunded, if not abolished?"
,
dress codes , should dress codes be implemented and enforced?
,
drinking age , should the drinking age be lowered from 21 to a younger age?
,
drone strikes , should the united states continue its use of drone strikes abroad?
,
drug use in sports , should performance-enhancing drugs be accepted in sports?
,
e,
,
election day national holiday , should the election day be made a national holiday?
,
electoral college , should the united states use the electoral college in presidential elections?
,
employer vaccine mandates , should employers be able to mandate vaccinations?
,
f,
,
felon voting , should people who have completed felony sentences be allowed to vote?
,
fighting in hockey , should fighting be allowed in hockey?
,
filibuster , should the u.s. senate keep the filibuster?
,
fracking , should the united states continue fracking
,
free college , should public college be tuition-free?
,
g,
,
gmos , should genetically modified organisms (gmos) be grown?
,
gold standard , should the united states return to a gold standard?
,
golf , is golf a sport?
,
gun control , should more gun control laws be enacted?
,
h,
,
historic statue removal , should historic statues be taken down?
,
homework , is homework beneficial?
,
i,
,
illegal immigration , should the u.s. government provide a path to citizenship for undocumented immigrants?
,
internet , is the internet “making us stupid?”
,
j,
,
k,
,
kneeling during the national anthem , is kneeling during the national anthem an appropriate form of protest?
,
l,
,
m,
,
mandatory national service , should the united states have mandatory national service?
,
medical aid in dying (maid) , should medical aid in dying be legal?
,
medical marijuana , should medical marijuana be legal?
,
milk , should humans consume dairy milk?
,
minimum wage , should the federal minimum wage be increased?
,
n,
,
net neutrality , should the u.s. have net neutrality laws?
,
o,
,
obesity , is obesity a disease?
,
olympics , are the olympic games an overall benefit for their host countries and cities?
,
otc birth control pills , should birth control pills be available over-the-counter (otc)?
,
p,
,
paying college athletes , should colleges and universities pay college athletes?
,
penny , should the penny stay in circulation?
,
pit bull bans , should breed-specific legislation (“pit bull bans”) be enacted?
,
pokémon , is pokémon go good for our society?
,
police body cameras , should police officers wear body cameras?
,
prescription drug costs , should the u.s. federal government regulate prescription drug prices?
,
private prisons , should prisons be privatized?
,
q,
,
r,
,
recreational marijuana , should recreational marijuana be legal?
,
reparations for slavery , should the federal government pay reparations to the descendants of slaves?
,
right to healthcare , should all americans have the right (be entitled) to health care?
,
s,
,
sanctuary cities , should sanctuary cities receive federal funding?
,
santa claus , is there really a santa claus?
,
saturday halloween , should halloween be moved permanently to saturday?
,
school uniforms , should students have to wear school uniforms?
,
school vouchers , should states have school voucher programs?
,
social media , is social media good for society?
,
social security privatization , should social security be privatized?
,
space colonization , should humans colonize space?
,
standardized tests , do standardized tests improve education in america?
,
student loan debt , should student loan debt be eliminated via forgiveness or bankruptcy?
,
t,
,
u,
,
uber & lyft , are ride-hailing companies a benefit to society?
,
universal basic income (ubi) , should the united states implement a universal basic income?
,
u.s. supreme court packing , should packing the u.s. supreme court ever be considered?
,
v,
,
vaccines for kids , should states be allowed to mandate vaccines for school attendance??
,
vaping e-cigarettes , is vaping e-cigarettes safe?
,
vegetarianism , should people become vegetarian?
,
video games & violence , do violent video games contribute to youth violence?
,
voting age , should the voting age be lowered to 16?
,
voting machines , are electronic voting machines the best method for voting?
,
w,
,
x,
,
y,
,
z,
,
zoos , should zoos exist?
,
archived topics,
,
please note that procon no longer updates these debates.,
,
aclu , is the aclu good for america?
,
big three bailout , should the big three car manufacturers be bailed out by the u.s. government?
,
born gay , is sexual orientation determined at birth?
,
college football playoffs , should college football replace the bowl championship series (bcs) with a playoff system?
,
dakota access pipeline , should the dakota access pipeline be completed?
,
d.a.r.e. , is the d.a.r.e. program good for america’s kids (k-12)?
,
gay marriage , should gay marriage be legal?
,
congressional insider trading , should insider trading by congress be allowed?
,
israeli-palestinian conflict , what are the solutions to the israeli-palestinian conflict?
,
obamacare , is the patient protection and affordable care act (obamacare) good for america?
,
president bill clinton , was bill clinton a good president?
,
president ronald reagan , was ronald reagan a good president?
,
"presidential election, 2008 ", which candidate would make the best u.s. president?
,
"presidential election, 2012 ", which candidate should be u.s. president in 2012?
,
"presidential election, 2016 ", the candidates and where they stand on the issues
,
"presidential election, 2020 ", 2020 presidential election site
,
prostitution , should prostitution be legal?
,
tablets v. textbooks -should tablets replace textbooks in k-12 schools?,
,
teacher tenure , should teachers get tenure?
,
under god in the pledge , should the words “under god” be in the u.s. pledge of allegiance?
,
u.s. drone shot down by iran , was the u.s. drone shot down by iran over international waters?
,
u.s.-iraq war , should the u.s. have attacked iraq?
,
wtc muslim center , is it appropriate to build a muslim community center (aka the ”ground zero mosque”) near the world trade center site?